Comment,Designator,Footprint,LCSC Part #,Manufacturer Part,Qty,Assembly
100nF,"C5,C13,C14,C15,C16,C17,C18,C21,C24,C29,C30,C31,C32,C33,C160",C0402,C1525,,15,SMT
22uF,"C6,C7,C8,C9,C10,C11,C34,C150,C151",C0805,C45783,,9,SMT
2.2uF,"C19,C20,C120",C0603,C23630,,3,SMT
1uF,C22,C0603,C15849,,1,SMT
4.7uF,"C23,C28",C0603,C19666,,2,SMT
10pF,"C25,C26",C0402,C32949,,2,SMT
10nF,"C60,C122,C127,C129,C139,C141",C0603,C57112,,6,SMT
4.7nF 50V C0G 5%,"C70,C81",C_0603_1608Metric,C85980,GRM1885C1H472JA01D,2,SMT
100nF 50V X7R 10%,"C71,C74,C83,C90,C93,C128,C140",C_0603_1608Metric,C1591,CL10B104KB8NNNC,7,SMT
22uF 25V X7R 10%,"C72,C73,C75,C76,C82,C92",M3_GRM32_1210,C21397,GRM32ER71E226KE15L,6,SMT
100pF 50V C0G 5%,C77,C_0603_1608Metric,C14858,CL10C101JB8NNNC,1,SMT
1uF 50V X7R 10%,"C80,C91",C_1206_3216Metric,C1848,CL31B105KBHNNNE,2,SMT
330uF 25V,C84,M3_OSCON_F12,C178367,,1,SMT
470nF 25V X7R 10%,C85,C_0603_1608Metric,C1623,CL10B474KA8NNNC,1,SMT
1uF 25V X7R 10%,C86,C_0603_1608Metric,C29936,CL10B105KA8NNNC,1,SMT
470uF 25V,C121,CAP-SMD_BD8.0-L8.3-W8.3-LS9.0-FD_H10.5,C46550466,MA25V470M8x10,1,SMT
220nF 25V X7R,"C126,C138",C0603,C21120,CL10B224KA8NNNC,2,SMT
USBLC6-2SC6,D4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C7519,,1,SMT
SMBJ9.0CA,D8,D_SMB,C135111,SMBJ9.0CA-13-F,1,SMT
B340A-13-F,D9,D_SMA,C85098,B340A-13-F,1,SMT
BAT54A,D120,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C8591,BAT54A,1,SMT
SRV05-4,D121,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C13612,SRV05-4.TCT,1,SMT
BAT54S,D122,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C47546,"BAT54S,215",1,SMT
1N5819WS,D123,SOD-323_L1.8-W1.3-LS2.5-RD,C191023,1N5819WS,1,SMT
BAT+ / GND / SW / SW,J1,M3_DB128V_4P_Entry,C2915641,,1,THT (hand/THT service)
SWD+DFU 1x6,J2,HDR-TH_6P-P2.54-V-M-1x6,C2337,,1,THT (hand/THT service)
USB-C 2.0,J3,USB-C_SMD-TYPE-C-31-M-12_1,C165948,,1,SMT
CAM 5V / GND / RX / TX,J9,M3_DB128V_4P,C2915641,,1,THT (hand/THT service)
