Designator,Mid X,Mid Y,Layer,Rotation
C5,15.2000mm,-134.5000mm,Top,0
C6,12.5300mm,-139.7700mm,Top,0
C7,20.7500mm,-136.0000mm,Top,90
C8,22.5300mm,-140.3700mm,Top,0
C9,26.5000mm,-140.2000mm,Top,0
C10,30.6000mm,-142.3000mm,Top,0
C11,34.6000mm,-141.0000mm,Top,0
C13,24.6000mm,-156.2000mm,Top,0
C14,12.8000mm,-160.5000mm,Top,180
C15,12.8900mm,-172.9000mm,Top,180
C16,31.6000mm,-175.9000mm,Top,0
C17,33.8000mm,-160.0000mm,Top,0
C18,26.5000mm,-156.4000mm,Top,90
C19,12.8700mm,-171.4000mm,Top,180
C20,28.6000mm,-175.9000mm,Top,180
C21,19.4500mm,-155.2000mm,Top,0
C22,33.6000mm,-144.2000mm,Top,0
C23,12.9000mm,-174.2000mm,Top,180
C24,39.3000mm,-175.6000mm,Top,90
C25,26.0000mm,-154.5000mm,Top,0
C26,20.3000mm,-152.3000mm,Top,180
C28,10.2000mm,-175.9000mm,Top,0
C29,27.9000mm,-184.6000mm,Top,0
C30,36.6000mm,-171.4000mm,Top,0
C31,39.6000mm,-171.2000mm,Top,0
C32,38.0000mm,-157.9000mm,Top,0
C33,20.0000mm,-205.0000mm,Top,0
C34,26.0000mm,-205.0000mm,Top,0
C60,23.0000mm,-150.0000mm,Top,0
C70,20.0000mm,-92.7500mm,Top,0
C71,17.5000mm,-94.0000mm,Top,90
C72,31.0000mm,-111.0000mm,Top,0
C73,31.0000mm,-114.5000mm,Top,0
C74,34.2500mm,-105.0000mm,Top,90
C75,36.5000mm,-117.0000mm,Top,90
C76,41.5000mm,-117.0000mm,Top,90
C77,25.0000mm,-111.0000mm,Top,90
C80,16.0000mm,-13.5000mm,Top,0
C81,25.0000mm,-19.5000mm,Top,0
C82,24.0000mm,-25.5000mm,Top,0
C83,30.0000mm,-14.0000mm,Top,90
C84,38.5000mm,-27.0000mm,Top,0
C85,26.0000mm,-22.0000mm,Top,90
C86,38.0000mm,-12.0000mm,Top,90
C90,5.5000mm,-157.4000mm,Top,90
C91,4.5000mm,-149.5000mm,Top,0
C92,12.5000mm,-148.0000mm,Top,0
C93,15.5000mm,-155.0000mm,Top,90
C120,13.4500mm,-44.8000mm,Top,0
C121,26.2000mm,-40.5000mm,Top,0
C122,31.2500mm,-43.3000mm,Top,90
C126,22.6000mm,-65.0000mm,Top,270
C127,22.1000mm,-69.3000mm,Top,0
C128,18.0000mm,-62.5500mm,Top,0
C129,28.9000mm,-65.9000mm,Top,90
C138,22.6000mm,-49.8000mm,Top,270
C139,22.0000mm,-47.4000mm,Top,0
C140,18.0000mm,-53.4500mm,Top,0
C141,28.9000mm,-50.0000mm,Top,90
C150,19.2000mm,-71.4000mm,Top,180
C151,19.6000mm,-84.4000mm,Top,180
C160,40.0000mm,-83.8000mm,Top,0
D4,13.5100mm,-178.7700mm,Top,0
D8,7.5000mm,-14.0000mm,Top,180
D9,18.0000mm,-25.0000mm,Top,180
D120,26.0000mm,-46.3500mm,Top,90
D121,36.6000mm,-78.0000mm,Top,0
D122,43.2000mm,-81.8000mm,Top,90
D123,13.2000mm,-74.0000mm,Top,90
J3,4.6000mm,-179.0000mm,Top,270
L1,25.5000mm,-136.0000mm,Top,0
L2,31.0000mm,-136.0000mm,Top,0
L3,37.5000mm,-110.0000mm,Top,0
LED1,43.8000mm,-157.0000mm,Top,270
LED2,43.8000mm,-161.5000mm,Top,90
LS120,7.0000mm,-77.0000mm,Top,0
Q120,10.0000mm,-40.5000mm,Top,90
Q121,17.2000mm,-40.5000mm,Top,270
Q122,34.2000mm,-39.3000mm,Top,180
Q123,13.2000mm,-79.4000mm,Top,0
Q124,18.6000mm,-65.6000mm,Top,90
Q125,18.6000mm,-50.4000mm,Top,90
R5,33.8000mm,-164.5000mm,Top,0
R7,10.3000mm,-174.5000mm,Top,0
R8,13.0000mm,-183.2000mm,Top,0
R9,14.8000mm,-176.2000mm,Top,0
R10,28.3000mm,-180.6000mm,Top,0
R11,40.0000mm,-165.6000mm,Top,0
R12,33.8000mm,-163.0000mm,Top,0
R13,33.8000mm,-161.5000mm,Top,0
R32,43.0000mm,-167.0000mm,Top,0
R33,43.0000mm,-165.0000mm,Top,0
R60,12.8000mm,-142.0000mm,Top,0
R61,20.4000mm,-149.9000mm,Top,0
R62,18.0000mm,-143.0000mm,Top,0
R63,19.9000mm,-151.2000mm,Top,0
R64,40.6000mm,-157.6000mm,Top,0
R70,26.0000mm,-95.0000mm,Top,0
R71,27.0000mm,-111.0000mm,Top,90
R72,27.0000mm,-107.0000mm,Top,90
R74,21.0000mm,-122.5000mm,Top,0
R75,21.0000mm,-100.0000mm,Top,0
R76,31.0000mm,-149.0000mm,Top,0
R77,27.0000mm,-98.0000mm,Top,0
R78,37.5000mm,-121.0000mm,Top,0
R80,27.0000mm,-12.0000mm,Top,0
R81,14.0000mm,-17.0000mm,Top,90
R82,13.0000mm,-20.0000mm,Top,0
R83,13.0000mm,-23.0000mm,Top,0
R84,24.5000mm,-16.0000mm,Top,0
R85,39.0000mm,-16.0000mm,Top,0
R86,33.0000mm,-20.0000mm,Top,0
R87,30.7000mm,-29.5000mm,Top,90
R88,28.0000mm,-29.5000mm,Top,270
R89,8.0000mm,-20.0000mm,Top,0
R90,36.5000mm,-18.0000mm,Top,0
R91,36.0000mm,-8.0000mm,Top,90
R92,23.0000mm,-29.0000mm,Top,0
R100,8.5000mm,-146.0000mm,Top,0
R101,17.5000mm,-148.5000mm,Top,0
R102,6.0000mm,-155.0000mm,Top,0
R103,11.0000mm,-143.9000mm,Top,0
R110,18.0000mm,-176.8000mm,Top,0
R120,13.5000mm,-36.0000mm,Top,180
R121,8.6000mm,-45.6000mm,Top,180
R122,31.6000mm,-38.4000mm,Top,0
R123,31.6000mm,-39.7000mm,Top,180
R124,33.2000mm,-45.0000mm,Top,0
R125,33.2000mm,-46.3000mm,Top,0
R126,24.4000mm,-65.0000mm,Top,90
R127,24.1000mm,-68.0000mm,Top,270
R128,21.3000mm,-64.9000mm,Top,270
R129,17.7000mm,-68.5000mm,Top,0
R130,19.6000mm,-68.5000mm,Top,0
R131,17.7000mm,-69.7000mm,Top,0
R132,29.1500mm,-58.6500mm,Top,0
R133,29.1500mm,-64.0000mm,Top,0
R138,24.4000mm,-49.8000mm,Top,90
R139,24.4000mm,-52.9000mm,Top,270
R140,21.3000mm,-49.7000mm,Top,270
R141,17.7000mm,-47.4000mm,Top,0
R142,19.6000mm,-47.4000mm,Top,0
R143,17.7000mm,-46.1000mm,Top,0
R144,29.1500mm,-57.3500mm,Top,0
R145,29.1500mm,-52.0000mm,Top,0
R150,29.6000mm,-81.8100mm,Top,180
R151,29.6000mm,-79.2700mm,Top,180
R152,29.6000mm,-76.7300mm,Top,180
R153,29.6000mm,-74.1900mm,Top,180
R154,33.0000mm,-81.8100mm,Top,0
R155,33.0000mm,-79.2700mm,Top,0
R156,33.0000mm,-76.7300mm,Top,0
R157,33.0000mm,-74.1900mm,Top,0
R160,40.0000mm,-80.8000mm,Top,90
R161,37.9000mm,-83.8000mm,Top,180
R162,13.2000mm,-83.4000mm,Top,0
R163,15.8000mm,-81.2000mm,Top,90
U1,23.0000mm,-166.0000mm,Top,180
U2,18.0000mm,-136.0000mm,Top,0
U3,24.0000mm,-181.0000mm,Top,180
U4,38.5000mm,-168.5000mm,Top,0
U5,39.0000mm,-161.0500mm,Top,0
U6,23.0000mm,-215.0000mm,Top,0
U7,22.0000mm,-96.0000mm,Top,0
U8,31.0000mm,-107.0000mm,Top,0
U9,20.0000mm,-17.0000mm,Top,0
U10,34.0000mm,-13.0000mm,Top,0
U11,30.0000mm,-25.0000mm,Top,0
U12,10.0000mm,-158.0000mm,Top,0
U13,9.5000mm,-152.0000mm,Top,0
Y1,23.1000mm,-153.4000mm,Top,90
